Code,smlmitzrach,shmmitzrach,makor,edible,psolet,ahuz_ibud_nozlim,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_unsaturated_fat,poly_unsaturated_fat,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose,tarich_ptiha,tarich_idkun,shmmitzrach,תרומה לשומן בטני
1322,26139180,"דג סרדין, משומר בשמן",1,0,0,0,24.6,11.4,0,208,0,59.6,0,382,2.92,39,490,397,307,1.31,0.19,0,0,2,0,0.08,0.23,5.24,0.17,10,0,8.94,142,1.53,0,0,0,0,0,0.192,0.993,0.343,2.145,3.543,0.498,0,0.509,0.22,0.125,0.423,0.473,1.081,0,3.87,5.15,4.8,0,0,32,1.134,2.001,1.268,2.26,1.079,0.729,0.961,0.276,0.725,0.831,1.473,0.264,1.004,2.6,0.64,0,52.7,0,75,0,0.1,0,0,0,"דג סרדין, משומר בשמן",מותר
1323,26139189,"דג סרדין, משומר בשמן, כנרת, יונה",3,0,0,0,23.2,5.1,0,139,0,73,0,1000,1.91,25.4,318.5,258.2,400,0.85,0.12,0,0,1.7,0,0.05,0.15,3.41,0.11,7.8,0,5.81,61,1.3,0,0,0,0,0,0.125,1.064,0.4,2.296,4.341,0.595,0,0.331,0.143,0.081,0.284,0.307,0.703,0,3.43,5.66,0,0,0.02,20.8,0.653,1.084,1.195,2.13,1.017,0.687,0.906,0.26,0.683,0.783,1.388,0.249,0.946,0,0,0,0,0,0,0,0,0,0,0,"דג סרדין, משומר בשמן, כנרת, יונה",מותר
1324,26139190,"דג סרדין, ללא עור, ללא עצמות, משומר במים",1,0,0,0,20.9,10.4,0.4,185,0,66.9,0.1,240,2.3,34,366,341,414,1.4,0.27,0,26,1.4,1,0.04,0.23,4.2,0.12,24,0,9,61,2.68,0,0,0,0,0,0.702,1.738,0.244,1.85,0.123,0.235,0.297,0.864,0.633,0,0.71,0.532,1.624,0.061,4.82,2.11,4.8,0.4,0,40,0.795,1.358,0.926,1.4,0.795,0.476,0.793,0.157,0.68,0.625,1.049,0.139,0.727,0.4,0.73,0,40.6,0,76,0,0.2,0.2,0,0,"דג סרדין, ללא עור, ללא עצמות, משומר במים",מותר
1325,26139199,"דג, שפרוטים מעושנים בשמן צמחי, ריגה",3,0,0,0,19,16,0,220,0,63,0,294.8,2.25,30.1,378.1,306.4,600,1.01,0.14,150.9,0,2.9,0,0.06,0.17,4.05,0.13,7.7,0,6.9,42,5,0,0,0,0,0,0.268,1.388,0.479,2.997,4.951,0.696,0,0.711,0.307,0.175,0.591,0.661,1.511,0,5.41,7.19,6.71,0,0,25.6,0.875,1.544,0.979,1.744,0.833,0.563,0.742,0,0.56,0.641,1.137,0.204,0.775,3.63,0.5,0,40.7,0,57.9,0,0.1,0,0,18/06/2018 13:00:55:727,"דג, שפרוטים מעושנים בשמן צמחי, ריגה",מותר
1326,26141100,"דג לוקוס/דקר/בס/קורבינה, לא מבושל",1,0,0,0,19.4,1,0,92,0,79.2,0,27,0.89,31,162,483,53,0.48,0.02,143,0,0,0,0.07,0,0.31,0.3,9,0,0.6,37,0.23,0,0,0,0,0,0.012,0.169,0.049,0.145,0.012,0.01,0.033,0.22,0.027,0,0.029,0.027,0.007,0.01,0.2,0.32,0,0,0,43,0.893,1.575,0.998,1.779,0.849,0.574,0.756,0.217,0.57,0.654,1.159,0.208,0.791,0,0.75,0,36.5,0,0,0,0,0,0,24/01/2021 13:16:52:53,"דג לוקוס/דקר/בס/קורבינה, לא מבושל",מותר
1328,26141128,דג לוקוס אפוי עם מיץ לימון ושמן סויה,4,0,0,23,23.4,4.1,0.3,138,0,70.1,0,33,1.08,37.7,196.1,588.4,251.3,0.58,0.03,138.2,0,0.2,1.8,0.08,0.01,0.34,0.33,10.7,0,0.65,44.7,0.74,0,0,0,0.001,0,0.015,0.508,0.188,0.829,1.492,0.209,0.04,0.266,0.033,0,0.042,0.033,0.008,0.012,0.9,2.06,0,0.1,0,46.7,1.079,1.902,1.205,2.149,1.026,0.693,0.913,0.262,0.689,0.79,1.4,0.251,0.955,5.33,0.91,0,44.1,0,0.3,0,0,0.1,0,0,דג לוקוס אפוי עם מיץ לימון ושמן סויה,מותר
1330,26141148,דג לוקוס מטוגן עם מיץ לימון ושמן קנולה,4,0,0,23,22.8,8.3,0.3,171,0,66.6,0,32.2,1.05,36.7,190.7,572.4,305.2,0.57,0.02,134.4,0,1.2,1.7,0.08,0.01,0.34,0.32,10.4,0,0.63,43.5,0.79,0,0,0,0.001,0,0.014,0.502,0.205,4.523,1.354,0.656,0.039,0.258,0.047,0,0.127,0.032,0.008,0.012,4.7,2.36,0,0.1,0,45.5,1.049,1.851,1.173,2.09,0.998,0.674,0.888,0.255,0.67,0.768,1.362,0.244,0.929,5.03,0.89,0,42.9,0,0.3,0,0,0.1,0,20/06/2021 16:12:18:623,דג לוקוס מטוגן עם מיץ לימון ושמן קנולה,מותר
1331,26141158,"דג לוקוס מטוגן ללא שמן, מקומח",4,0,0,23,23.4,1.3,13.6,169,0,59.2,0.5,32.8,1.2,38.4,199.5,555,288.2,0.66,0.05,126.8,0,0,0,0.09,0.01,0.54,0.29,13.3,0,0.57,41,0.29,0,0,0,0,0,0.013,0.215,0.056,0.177,0.086,0.015,0.037,0.244,0.03,0,0.032,0.03,0.008,0.011,0.24,0.43,0,0,0,40.5,1.055,1.876,1.183,2.013,0.993,0.67,0.934,0.264,0.674,0.782,1.361,0.271,0.972,0.06,0.91,0,46.7,0,1.9,0,0.1,0,0,0,"דג לוקוס מטוגן ללא שמן, מקומח",מותר
1332,26141160,"דג לוקוס/דקר/בס מים מלוחים, מבושל במים או אדים, עם מלח",1,0,0,0,23.2,2.5,0,122,0,71.8,0,13,0.37,46,220,274,399,0.5,0.02,0,0,1.1,0,0.11,0.14,1.71,0.4,5,0,0.32,52,0.64,0,0,0,0,0,0.062,0.405,0.174,0.37,0.03,0,0,0.546,0.163,0.058,0,0.202,0,0.096,0.53,0.93,7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,45.9,0,76.5,0,0,0,0,24/12/2018 12:07:33:06,"דג לוקוס/דקר/בס מים מלוחים, מבושל במים או אדים, עם מלח",מותר
1333,26151100,"דג פורל, לא מבושל",6,0,0,0,20.9,5.4,0,138,0,71.7,0,26.2,0.32,26.2,236.9,395.1,35,0.47,0.05,244.7,0,2,3,0.13,0.09,5.84,0.36,11.5,0,4.51,59,1.6,0,0,0,0,0.003,0.159,0.811,0.2,1.201,0.43,0.059,0.038,0.451,0.297,0.001,0.194,0.19,0.016,0.08,1.73,1.32,13.89,0,0.04,84,1.008,1.778,1.127,2.008,0.959,0.648,0.854,0.614,0.644,0.738,1.309,0.235,0.892,0.09,1.75,0,24.7,0,68.1,0,0,0,0,0,"דג פורל, לא מבושל",מותר
1334,26151128,דג פורל אפוי עם מיץ לימון ושמן סויה,4,0,0,23,24.8,11.8,0.3,205,0,61,0,74.3,0.32,30.1,277,355.3,227.7,0.83,0.04,0,0,3.3,1.8,0,0,4.78,0,2.3,0,2.28,97.6,2.48,0,0,0,0.001,0,0,0.304,0.129,0.654,1.478,0.363,0,0.589,0,0,0.007,0.095,0,0,4.55,4.66,24.16,0.1,0,1.3,0.788,1.31,1.282,2.285,1.091,0.737,0.972,0.279,0.732,0.84,1.489,0.267,1.015,5.33,0.01,1.33,178.8,0,0.3,0,0,0.1,0,25/11/2020 10:58:24:497,דג פורל אפוי עם מיץ לימון ושמן סויה,מותר
1335,26151129,"דג פורל, צלוי על גחלים, עם מלח, דגי דן",3,0,0,0,24,10,0,186,0,64,0,30.1,0.37,30.1,272,453.8,280,0.54,0.05,453.1,0,3.8,3.5,0.14,0.11,6.7,0.41,13.2,0,5.18,41,2.5,0,0,0,0,0.006,0.294,1.502,0.371,2.223,0.796,0.108,0.07,0.835,0.55,0.002,0.359,0.351,0.029,0.147,3.2,2.44,25.73,0,0.08,123.4,1.158,2.041,1.294,2.306,1.101,0.744,0.981,0,0.739,0.847,1.503,0.27,1.024,0.16,2.01,0,28.4,0,78.2,0,0,0,0,24/12/2018 12:16:37:92,"דג פורל, צלוי על גחלים, עם מלח, דגי דן",מותר
1336,26151160,"דג פורל, מבושל במים או באדים, עם מלח",1,0,0,0,25.1,7.8,0,177,0,66.2,0,32,0.39,28,256,403,380,0.57,0.06,0,0,2.9,2.7,0.12,0.1,5.95,0.34,11,0,4.6,74,1.74,0,0,0,0,0.005,0.229,1.167,0.288,1.728,0.619,0.084,0.054,0.649,0.428,0.001,0.279,0.273,0.023,0.114,2.49,1.89,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,29.7,0,81.7,0,0,0,0,24/12/2018 12:17:25:527,"דג פורל, מבושל במים או באדים, עם מלח",מותר
1337,26151190,"דג פורל, מעושן",1,0,0,0,35.5,11,0,251,0,52.1,0,45,0.56,44,402,671,608,0.8,0.08,0,0,4.2,4.1,0.19,0.15,9.41,0.54,18,0,6.88,105,2.46,0,0,0,0,0.007,0.324,1.651,0.407,2.444,0.875,0.119,0.076,0.918,0.605,0.002,0.395,0.386,0.032,0.162,3.52,2.68,28.3,0,0,27,0.653,1.084,1.827,3.258,1.554,1.05,1.385,0.397,1.044,1.197,2.122,0.38,1.447,0.2,0,0,42,0,115.6,0,0,0,0,0,"דג פורל, מעושן",מותר
1338,26151199,"דג פורל, מעושן, דגי  דן",3,0,0,0,19,11,0,175,0,68,0,39.6,1.37,20.1,224.3,330.2,150,0.61,0.17,0,0,0.3,0.4,0.29,0.29,3.91,0.17,10.8,0,6.41,65,3,0,0,0,0,0,0.308,1.356,0.246,2.395,0.291,0.258,0.314,0.878,1.166,0.107,0.466,0.336,1.381,0.305,5.41,2.49,6.45,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,11.5,0,59.5,0,0,0,0,0,"דג פורל, מעושן, דגי  דן",מותר
1339,26153009,"דג טונה, סטייק קפוא, תנובה",3,0,0,0,25,1,1,114,0,71,0,4.3,0.82,37.3,296.2,469.9,21,0.39,0.04,122.4,0,0.5,0,0.13,0.12,19.69,0.99,2.1,0,2.22,33,0.6,0,0,0,0,0.002,0.018,0.216,0.092,0.169,0.039,0.004,0.031,0.18,0.022,0,0.016,0.024,0.002,0.008,0.24,0.3,3.47,0,0.03,18.9,1.103,1.947,1.234,2.2,1.05,0.709,0.935,0,0.705,0.808,1.433,0.257,0.977,0.2,0.3,0,96.5,0,69.3,0,0,0,0,0,"דג טונה, סטייק קפוא, תנובה",מותר
1340,26153028,דג טונה אפוי עם מיץ לימון ללא תוספת שומן בבישול,4,0,0,20,29.2,0.6,0.3,132,0,67.8,0,5.2,0.93,42.2,333.2,533,239.5,0.45,0.04,0,0,0.3,1.8,0.13,0.12,19.91,1.01,3.1,0,2.24,46.7,0.21,0,0,0,0.001,0.001,0.011,0.127,0.054,0.1,0.023,0.003,0.018,0.105,0.013,0,0.01,0.014,0.001,0.005,0.14,0.18,2.04,0.1,0,19.4,1.29,2.275,1.442,2.571,1.227,0.829,1.093,0.314,0.824,0.945,1.675,0.301,1.142,0.12,0.34,0,108.5,0,78.1,0,0,0.1,0,0,דג טונה אפוי עם מיץ לימון ללא תוספת שומן בבישול,מותר
1341,26153038,"דג טונה מבושל ברוטב עגבניות ושמן סויה, חריימה",4,0,0,10,14,3,3.2,101,0,76.9,0.8,12.8,0.65,24.4,153.3,343.5,373.5,0.32,0.06,0,634,0.7,10.2,0.09,0.07,8.96,0.47,8.5,0,0.97,21.3,0.52,0,0,0,0,0,0.005,0.35,0.145,0.649,1.388,0.181,0.008,0.048,0.007,0,0.01,0.007,0,0.002,0.67,1.64,0.91,2,0,65.5,0.018,0.026,0.019,0.025,0.028,0.006,0.026,0.006,0.011,0.012,0.029,0.011,0.022,9.31,0.07,0,50.1,0,40,0,0.1,0.6,0,0,"דג טונה מבושל ברוטב עגבניות ושמן סויה, חריימה",מותר
1343,26153058,קציצות דג טונה מטוגנות בשמן סויה,4,0,0,20,14.9,10.3,9.6,194,0,62,1.1,35.4,1.76,24.9,147.7,206,437.7,0.9,0.08,0,197,1.1,6.9,0.1,0.14,5.35,0.24,35,0,1.43,106.3,2.04,0.001,0,0.001,0.004,0,0.014,1.393,0.55,2.545,4.189,0.518,0.057,0.118,0.067,0.001,0.026,0.015,0,0.004,2.64,4.92,1.11,1.4,0,55.5,0.666,1.158,0.776,1.183,0.613,0.405,0.616,0.171,0.398,0.494,0.869,0.195,0.702,81.22,0.6,0,48.4,0,87.8,0,0.2,0.3,0,0,קציצות דג טונה מטוגנות בשמן סויה,מותר
1344,26153100,"דג טונה, לא מבושל",1,0,0,0,24.4,0.5,0,109,0,74,0,4,0.77,35,278,441,45,0.37,0.04,0,0,0.2,0,0.12,0.12,18.48,0.93,2,0,2.08,39,0.17,0,0,0,0,0.001,0.009,0.106,0.045,0.083,0.019,0.002,0.015,0.088,0.011,0,0.008,0.012,0.001,0.004,0.12,0.15,1.7,0,0,18,1.077,1.9,1.204,2.147,1.025,0.692,0.913,0.262,0.688,0.789,1.399,0.251,0.954,0.1,0.28,0,90.6,0,65,0,0,0,0,0,"דג טונה, לא מבושל",מותר
1347,26153160,"דג טונה, מבושל במים או מאודה, עם מלח",1,0,0,0,30.7,0.6,0,137,0,66.5,0,5,0.97,40,315,471,373,0.47,0.05,0,0,0.3,0,0.12,0.13,19.75,0.94,2,0,2.22,49,0.22,0,0,0,0,0.001,0.011,0.133,0.057,0.104,0.024,0.003,0.019,0.111,0.014,0,0.01,0.015,0.001,0.005,0.15,0.19,2.1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,113.9,0,81.7,0,0,0,0,0,"דג טונה, מבושל במים או מאודה, עם מלח",מותר
1348,26153169,"סלט הרינג עם רסק עגבניות, סלט אס, יונה",2,0,0,0,8,10,7,150,0,72.2,1.5,10,0.88,23.6,69.1,187.8,400,0.4,0.07,265,210,1.4,17.6,0.03,0.05,3.63,0.16,6.1,0,0.69,29,2,0,0,0,0,0,0.004,1.104,0.46,2.297,5.165,0.684,0.008,0.051,0.007,0.003,0.026,0.011,0.007,0.002,2.34,5.92,0,3.1,0.05,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סלט הרינג עם רסק עגבניות, סלט אס, יונה",מותר
1349,26153179,"סלט טונה פיקנטי, ויליגר",3,0,0,0,8,6,7,114,0,75.9,1,21.1,1.68,24.6,85.4,422.2,500,0.5,0.15,0,682,3.3,24.3,0.22,0.09,5.13,0.22,7.4,0,1.03,20,1.5,0,0,0,0.002,0,0.004,0.679,0.277,1.32,2.923,0.382,0.01,0.079,0.009,0.001,0.014,0.011,0,0.002,1.34,3.41,0.48,1.5,0,66.2,0.365,0.636,0.406,0.718,0.359,0.227,0.322,0.092,0.235,0.268,0.471,0.09,0.333,17.47,0.1,0,30.2,0,25,0,0.1,0,0,0,"סלט טונה פיקנטי, ויליגר",מותר
1350,26153190,"דג טונה, טרי, מעושן",1,0,0,0,25.5,10,0,200,0,61.3,0,29,1.48,36,159,517,398,0.85,0.12,0,0,1.2,2.1,0.13,0.54,10.59,0.38,2,0,4.2,60,2.86,0,0,0,0,0.012,0.433,1.768,0.561,1.69,0.148,0.064,0.103,1.186,0.599,0.159,0.414,0.648,0.617,0.157,3.35,2.47,11.3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,46.5,0,83,0,0,0,0,0,"דג טונה, טרי, מעושן",מותר
1352,26153229,"קציצות דג טונה, המבורגר, שף הים",3,0,0,0,18,7,8,167,0,65.7,0.3,35.6,1.58,23.3,140.2,217.5,550,0.77,0.08,0.1,114,0.7,6,0.06,0.13,6.15,0.23,28.6,0,1.57,65.4,1.28,0,0,0,0,0,0.017,0.913,0.335,1.756,2.867,0.364,0.029,0.073,0.061,0.004,0.018,0.015,0.009,0.003,1.85,3.37,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26/10/2017 10:48:42:837,"קציצות דג טונה, המבורגר, שף הים",אסור
1355,26153299,"דג טונה, מעושן בשמן, יונה",3,0,0,0,30,7,0,180,0,61,0,34.1,1.74,42.3,186.7,607.3,700,1,0.14,0,0,0.9,2.5,0.16,0.63,12.44,0.44,2.3,0,4.93,19.1,1,0,0,0,0,0.014,0.3,1.23,0.39,1.186,0.1,0.05,0.07,0.83,0.42,0.11,0.29,0.45,0.43,0.11,2.33,1.72,7.88,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,54.6,0,97.5,0,0,0,0,0,"דג טונה, מעושן בשמן, יונה",מותר
1357,26153389,"סלט טונה עם עגבניות, יונה",2,0,0,0,14,8,1,132,0,74.8,1.2,10.4,1.2,28.9,107.7,213.5,500,0.58,0.07,0.2,63,1.1,1.5,0.03,0.06,7.13,0.22,4.4,0,1.5,11,1,0,0,0,0,0,0.009,0.827,0.342,1.642,3.623,0.48,0.017,0.112,0.013,0.007,0.022,0.023,0.014,0.004,1.69,4.27,0,0,0,13.8,0.606,1.024,0.719,1.272,0.612,0.41,0.546,0.157,0.408,0.47,0.844,0.15,0.573,0,0,0,0,0,0,0,0,0,0,10/07/2018 10:23,"סלט טונה עם עגבניות, יונה",מותר
1358,26155180,"דג טונה, משומר בשמן, לפנ לסוג שמן",1,0,0,0,29.1,8.2,0,198,0,59.8,0,13,1.39,31,311,207,416,0.9,0.07,0,0,0.9,0,0.04,0.12,12.4,0.11,5,0,2.2,18,1.53,0,0,0,0,0,0.027,1.415,0.092,2.839,2.683,0.074,0,0.101,0.083,0,0.027,0.027,0,0,2.95,2.88,6.7,0,0,23,1.342,2.368,1.501,2.675,1.277,0.862,1.137,0.326,0.858,0.983,1.743,0.312,1.189,44,0.37,0,76,0,29.3,0,0,0,0,0,"דג טונה, משומר בשמן, לפנ לסוג שמן",מותר
1359,26155188,מוס טונה,4,0,0,4,23.7,14.5,0.7,234,0,59,0,23.8,1.25,23,247,168.2,586.4,0.88,0.09,145,3,1.2,0,0.04,0.22,7.9,0.1,16.2,0,1.71,116.8,2.87,0,0,0.017,0.001,0.001,0.03,2.231,0.55,4.278,5.337,0.495,0.043,0.075,0.143,0,0.041,0.019,0.002,0,4.47,5.97,4.88,0.3,0,59.3,1.07,1.857,1.212,2.023,1.011,0.671,0.945,0.251,0.643,0.776,1.451,0.281,1.071,38.93,0.63,0,57.7,0,102.3,0,0,0,0,0,מוס טונה,מותר
1360,26155190,"דג טונה, משומר במים",1,0,0,0,19.4,1,0,86,0,78.1,0,17,1.63,23,139,179,247,0.69,0.05,0,0,0.3,0,0.03,0.08,10.14,0.32,4,0,2.55,36,0.21,0,0,0,0.005,0,0.01,0.127,0.052,0.084,0.014,0.002,0.025,0.196,0.015,0.002,0.004,0.028,0,0.004,0.11,0.28,1.2,0,0,17,0.858,1.514,0.959,1.711,0.817,0.551,0.727,0.209,0.548,0.629,1.115,0.2,0.76,0.2,0.15,0,70.6,0,29.3,0,0,0,0,0,"דג טונה, משומר במים",מותר
1362,26205160,"תמנון, מבושל באדים",1,0,0,0,29.6,2.1,4.4,163,0,60.1,0,105,9.48,60,277,626,712,3.34,0.73,0,0,1.2,7.9,0.06,0.08,3.75,0.64,24,0,35.76,95,0.45,0,0,0,0,0,0.05,0.294,0.099,0.123,0.018,0,0.077,0.161,0.131,0.056,0.048,0.151,0.02,0.012,0.32,0.47,0,0,0,80,1.033,2.383,1.293,2.212,1.274,0.668,1.061,0.332,0.569,0.947,2.16,0.388,1.326,0.1,0,0,89,0,80.5,0,0,0,0,0,"תמנון, מבושל באדים",מותר
1363,26209109,"סלט איקרא לבנה מיוחדת, ממרח ביצי דגים, שמיר",3,0,0,0,5.5,44.2,5.3,441,0,44.2,0.4,12.7,0.35,7.4,121.5,77.7,2400,0.38,0.04,60.4,0,3.4,3.6,0.06,0.22,0.45,0.06,23,0,2.38,60,11.2,0,0,0,0,0,0.022,4.688,1.866,9.585,20.518,2.721,0.061,0.353,0.111,0.003,0.124,0.251,0.011,0.022,9.83,23.93,0.16,1.5,0,28.4,0.347,0.59,0.404,0.509,0.306,0.173,0.335,0.013,0.181,0.328,0.394,0.122,0.328,73.61,0.35,0,13,0,24,0,0,0,0,07/09/2020 16:30:05:88,"סלט איקרא לבנה מיוחדת, ממרח ביצי דגים, שמיר",מותר
1364,26209110,"ביצי דגים, סוגים שונים, מבושלות",6,0,0,0,28.6,8.2,1.9,204,0,59.3,0,28,0.77,26,514.3,282.6,117,1.28,0.13,301.9,0,0,16.4,0.28,0.95,2.19,0.19,91.9,0,11.52,479,1.9,0,0,0,0,0,0.097,1.628,0.135,1.45,0.037,0.008,0.231,1.741,0.477,0.015,0.141,1.255,0.053,0.105,2.12,3.39,0,1.9,0,91,1.464,2.507,1.675,2.177,1.304,0.71,1.4,0.375,0.777,1.437,1.638,0.499,1.249,0,1.15,0,51.6,0,0,0,0,0,0,0,"ביצי דגים, סוגים שונים, מבושלות",מותר
1366,26209120,"ביצי דגים, סוגים שונים, לא מבושלות",1,0,0,0,22.3,6.4,1.5,143,0,67.7,0,22,0.6,20,402,221,91,1,0.1,0,0,7,16,0.24,0.74,1.8,0.16,80,0,10,374,1.46,0,0,0,0,0,0.076,1.275,0.105,1.135,0.029,0.006,0.181,1.363,0.374,0.012,0.111,0.983,0.041,0.082,1.66,0.62,12.1,0,0,0,0.834,1.439,0.949,1.628,0.889,0.608,0.734,0.206,0.395,0.646,1.255,0.244,0.636,0.2,0.49,0,40.3,0,0,0,0,0,0,07/09/2020 16:30:45:567,"ביצי דגים, סוגים שונים, לא מבושלות",מותר
1367,26209939,"סלט איקרא לבנה, צבר",3,0,0,0,2.8,37.8,7.8,382,0,50.8,0,6,0.18,5.3,84.3,55.6,2400,0.24,0.03,31.9,0,3.8,4.6,0.05,0.15,0.4,0.04,17.9,0,1.97,95,6.25,0,0,0,0,0,0.047,4.359,4.764,23.202,3.257,0.08,0.019,0.144,0.072,0.001,0.026,0.104,0.004,0.009,23.3,3.79,0,2.8,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/09/2020 16:29:57:49,"סלט איקרא לבנה, צבר",מותר
1368,26305110,"סרטן, מבושל, לפנ לשיטת הבישול",1,0,0,0,17.8,0.7,0,82,0,79.2,0,91,0.5,36,232,257,647,3.79,0.81,0,0,1.8,3.3,0.02,0.09,2.73,0.16,51,0,3.31,96,0.2,0,0,0,0,0.002,0.008,0.097,0.072,0.091,0.02,0.009,0.037,0.067,0.027,0.002,0.006,0.1,0,0.009,0.13,0.26,0,0,0,1,0.612,1.017,0.801,1.378,0.723,0.449,0.704,0.225,0.391,0.654,1.749,0.186,0.674,0.3,0,0,42.6,0,80.4,0,0,0,0,0,"סרטן, מבושל, לפנ לשיטת הבישול",מותר
1369,26311110,"לובסטר, מבושל, לפנ לשיטת הבישול",1,0,0,0,18.9,0.9,0,88,0,77.6,0,96,0.29,43,184,229,737,4.02,1.54,0,0,1,0,0.02,0.02,1.82,0.12,11,0,1.42,145,0.21,0,0,0,0,0.003,0.011,0.125,0.052,0.179,0.038,0.05,0.03,0.077,0.034,0.002,0.031,0.116,0.003,0.006,0.25,0.34,0,0,0,1,0.612,1.017,0.848,1.418,0.749,0.472,0.778,0.247,0.472,0.669,1.744,0.207,0.729,0,0,0,72.6,0,80.4,0,0,0,0,0,"לובסטר, מבושל, לפנ לשיטת הבישול",מותר
1370,26313110,"מולים (צדפות), מבושלות, לפנ לשיטת הבישול MUSSELS",1,0,0,0,23.7,4.5,7.3,171,0,60.5,0,52,7.08,68,294,574,910,3.19,0.16,0,0,1.1,12.7,0.3,0.4,2.87,0.09,63,0,21.5,56,0.85,0,0,0,0,0,0.117,0.585,0.135,0.408,0.036,0.04,0.139,0.504,0.275,0.07,0.275,0.374,0.052,0.044,1.01,1.21,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,89.2,0,129.4,0,0,0,0,22/02/2022 11:55:57:963,"מולים (צדפות), מבושלות, לפנ לשיטת הבישול MUSSELS",מותר
1371,26315130,"צדפות, מבושלות במים, עם מלח OYSTERS",1,0,0,0,11.4,3.4,5.4,102,0,77.3,0,118,8.26,36,145,280,510,78.26,4.84,0,0,1.7,0,0.03,0.17,1.66,0.06,10,0,15.68,80,0.94,0,0,0,0,0.002,0.1,0.635,0.131,0.335,0.082,0.167,0.044,0.271,0.104,0.096,0.056,0.352,0.002,0.02,0.5,1.05,0,1.2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39.2,0,129.4,0,0,0,0,24/12/2018 17:52:54:643,"צדפות, מבושלות במים, עם מלח OYSTERS",מותר
1372,26315190,"צדפות, מעושנות OYSTERS",1,0,0,0,9.2,2.8,4.4,82,0,81.1,0,95,7.43,29,156,251,605,63.32,4.61,0,0,1.4,0,0.03,0.14,1.42,0.05,10,0,14.1,64,0.76,0,0,0,0,0.002,0.081,0.514,0.106,0.271,0.066,0.135,0.035,0.219,0.084,0.077,0.045,0.285,0.002,0.016,0.41,0.85,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,31.7,0,104.7,0,0,0,0,0,"צדפות, מעושנות OYSTERS",מותר
1373,26319110,"שרימפס, מבושל, לפנ לשיטת הבישול, עם מלח",1,0,0,0,14.9,11.4,10.2,209,0,60.5,0.6,78,1.03,26,254,139,831,1.17,0.2,0,0,2.3,0,0.12,0.1,2.3,0.16,26,0,0.94,145,1.86,0,0,0,0.001,0.004,0.013,1.231,0.499,4.092,3.831,0.543,0.048,0.067,0.056,0,0.054,0.059,0,0.006,4.24,4.57,0.3,0.9,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,32.2,0,96.3,0,0,0,0,08/01/2019 11:12:24:727,"שרימפס, מבושל, לפנ לשיטת הבישול, עם מלח",מותר
1374,13411108,רוטב שמנת עם שרימפס וחמאה,4,0,0,17,10,21.8,8.6,274,0,57.2,0.5,99.6,0.69,21.4,194,153.5,755.2,0.86,0.13,451.5,30,1.8,0.9,0.1,0.13,1.38,0.13,16.5,0,0.67,129,10.13,0.548,0.334,0.197,0.428,0.457,1.457,4.725,2.137,6.146,2.656,0.462,0.028,0.039,0.288,0,0.05,0.034,0.034,0.003,6.65,3.23,0.47,2.6,0,163.3,0.075,0.121,0.084,0.099,0.057,0.031,0.061,0.001,0.035,0.058,0.058,0.013,0.069,7.86,0.15,0,20.1,0,66.9,0,0,0,0,0,רוטב שמנת עם שרימפס וחמאה,אסור
